,tweet,is_retweet
141,"RT @987fm: We're playing one track from #MAP_OF_THE_SOUL_7  everyday on-air this week and YOU get to choose! Vote for the song below! 🌟

Li…",True
142,RT @DroppedmicAgain: Hamas spokeswoman talkin bout secret weapons. https://t.co/EiDqlslMrK,True
143,RT @tribelaw: These remarks by @SenSchumer were inexcusable. Chief Justice Roberts was right to call him on his comments. I hope the Senato…,True
144,"WHO’S PAYING FOR IT?
@BernieSanders never gives a straight answer on that. That’s a page out of Trump’s book and fo… https://t.co/D2fURGENgp",False
145,"RT @johnpavlovitz: To Whom It May Concern,

We're trying to oust a dictator here.

Please stop using the word ""establishment"" for anyone wh…",True
146,"RT @Igot7Linn: Sawadeeka! 🙏 💕🐍 @BamBam1A
@GOT7Official
Plss..vote for #BamBam and #GOT7 
Link: https://t.co/VH7gUQl6gd
200304 💚🐥 https://t.…",True
147,"RT @docrocktex26: Since y’all are here for it here’s another spoiler alert🚨: Bernie isn’t running to be POTUS, he’s running to shit on all…",True
148,"RT @JusticeDanny: Look at how angry the man is. This might fly in Queens but @SenSchumer is one reason why the people of Wisconsin, Michiga…",True
149,u smoke mid,False
150,RT @sim_kern: So many people casting a vote for planetary suicide. Biden gets an F on climate change. He’s millions in debt to fossil fuels…,True
151,"RT @MSNBC: Rep. Gaetz wore a gas mask to Wednesday's House vote on an emergency funding bill to fight COVID-19.

Rep. Sean Maloney reacts:…",True
152,"RT @rickklein: Super Tuesday popular vote - as counted so far: 

Biden: 4,513,082
Sanders: 3,672,279
Bloomberg: 1,704,870
Warren: 1,642,201…",True
153,If young people are too stupid to notice a difference between Joe and trump then I now know why they are falling fo… https://t.co/CMcgOZLId8,False
154,"RT @w_terrence: We are all in this together! I will continue to fight for what’s right no matter how many names I’m called. 

Lets all join…",True
155,"RT @LevinTV: Clean Up The Vote

Democrats don't want the voting system cleaned up because it helps them win elections

See why they call Ma…",True
156,RT @MN4Trump_: @mitchellvii Minnesota 2020 Presidential Primary: President Trump received the highest vote total of ANY incumbent president…,True
157,RT @MAGAPATRIOT_TGM: Chicago what is your problem? You keep electing Democrats that aren’t interested in your safety. Wake the Hell up and…,True
158,RT @Biggan4Congress: How did this guy get elected?!,True
159,"RT @bocxtop: My grandpa is 84 and half blind, probably gonna be the last time he’s able to vote for a president so I was honored to help hi…",True
160,People are dying in my community. This is cruel and not even close to being funny.,False
161,"RT @MSNBC: Rep. Gaetz wore a gas mask to Wednesday's House vote on an emergency funding bill to fight COVID-19.

Rep. Sean Maloney reacts:…",True
162,"RT @Igot7Linn: Sawadeeka! 🙏 💕🐍 @BamBam1A
@GOT7Official
Plss..vote for #BamBam and #GOT7 
Link: https://t.co/VH7gUQl6gd
200304 💚🐥 https://t.…",True
163,"RT @nikoCSFB: “Bernie Sanders isn’t turning out young voters”

As college students wait in 4 hour lines outside of their university because…",True
164,"RT @USPoliticsPoll: Who will you vote for in November in this scenario? 

Please vote and retweet. #SuperTuesdayResults",True
165,"RT @thenation: ""I was shocked to hear the 2020 Democratic front-runner tell me to my face to vote for Trump, simply because I pressed him o…",True
166,@losangelesbey lmaooo wtf they asked my parents that shit yesterday before they went in to vote https://t.co/iQc4r0jMKE,False
167,"Good look for you, fuckwit.",False
168,Because it's stanky hanging out in Trump's massive ass.,False
169,"RT @pottsy000: Mel, Emily, Elise, Jann, Kate, Varun, Greg and now TIM have all voted/told us to vote for Kat....

Idk about you earpers but…",True
170,"RT @conservmillen: Safe, legal and rare is now legal—period. Abortion through nine months, without apology, paid for by YOU. You can’t vote…",True
171,RT @MsJuneDiane: Stop telling your daughters they can be president when you are unwilling to vote for a woman president.,True
172,"RT @vexedinthecity: Joe Biden won 63% of the black vote in North Carolina. Folks, it's ain't the ""establishment"" changing the race, it's th…",True
173,"@BettieRose100 Biden is winning the same day both, Bernout is 3rd in the same day vote.",False
174,"RT @KHiveQueenB: You're an idiot, sir, and you're spreading false information about the election. 

That's a violation of the rules..

Stop…",True
175,"RT @Tennessee_Daddy: Let's GO! Less than an hour to finish this and we are losing!

Retweet, and vote!",True
176,"RT @bocxtop: My grandpa is 84 and half blind, probably gonna be the last time he’s able to vote for a president so I was honored to help hi…",True
177,RT @dammy101: Let me give some more sms for my Bolar people oooo.... #Bolar chaiii they must not wear us coat of shame oooo... Team Bolar i…,True
178,"RT @traceyecorder: Bernie says that our incarcerated brothers and sisters should have dignity and the right to vote. 

Biden wrote the 94 C…",True
179,RT @kayleighmcenany: The untold story of Super Tuesday is President @realDonaldTrump TROUNCING the vote totals of all past incumbents in BL…,True
180,RT @RobAnderson2018: Matt is a dick.,True
181,@sharonmission @Politics_Polls @Reuters @Ipsos We’ll see 👀 a majority of the youth vote went to Bernie I don’t know… https://t.co/8n0BTlJt1P,False
182,RT @WayneDupreeShow: McCarthy says Pelosi delayed a vote to fund Cornavirus efforts so Dems could run several more ads politicizing the cor…,True
183,RT @tribelaw: These remarks by @SenSchumer were inexcusable. Chief Justice Roberts was right to call him on his comments. I hope the Senato…,True
184,RT @TeaPainUSA: Matt Gaetz would have to pick up 20 I.Q. points just to be classified an “idiot.”,True
185,Are you registered to vote? 🇺🇸,False
186,RT @charliekirk11: Daily reminder that the last vote Joe Biden took in his 38 year Senate career was to authorize a federal bailout program…,True
187,RT @tribelaw: These remarks by @SenSchumer were inexcusable. Chief Justice Roberts was right to call him on his comments. I hope the Senato…,True
188,@Secret_private9 @DrakoNSFW And someone else will get voted in to take their spot who'll vote for who we wanted hop… https://t.co/uBdjit5di6,False
189,RT @keithboykin: It took 7 hours for Hervis Rogers to vote at his polling place on the HBCU campus of Texas Southern University in Houston.…,True
190,@PlayStation Where do I vote for a PS5 reveal?,False
